source,odkvar,dbvar,dbtable,15-Sep,16-May
ODK Forms,b_roster_count,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,b_roster_index,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,can_total,-,-,rapid_road_17_sep_2015_v1,rapid_road_15_may_2016_v1
ODK Forms,country_name,-,-,ffs_17_sep_2015_v1,ffs_15_may_2016_v1
ODK Forms,den_center_avg,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_center_check,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_center_one,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_center_total,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_ne_avg,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_ne_check,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_ne_one,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_ne_total,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_nw_avg,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_nw_check,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_nw_one,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_nw_total,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_se_avg,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_se_check,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_se_one,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_se_total,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_sw_avg,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_sw_check,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_sw_one,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,den_sw_total,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,district,-,-,ffs_lab_17_sep_2015_v1,ffs_lab_15_may_2016_v1
ODK Forms,eligible_fields_count,-,-,ffs_17_sep_2015_v1,ffs_15_may_2016_v1
ODK Forms,eplot_code,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,eplot_code,-,-,eplot_soil_lab_17_sep_2015_v1,eplot_soil_lab_15_may_2016_v1
ODK Forms,eplot_code,-,-,soils_eplot_sample_17_sep_2015_v1,soils_eplot_sample_15_may_2016_v1
ODK Forms,fd_diverse_lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
